aa,ac,ag,at,cc,gc,ct,gt,tt,gg,ref_id,split_id
17.75632216,32.29337586,27.04248704,28.80993794,13.91053472,22.84459807,24.01655667,21.2307487,12.67510293,12.05998932,SARS-CoV-2_1_LEFT,SARS-CoV-2_54_LEFT
17.08927068,33.42786526,23.24693837,27.47290324,15.09231497,21.62640846,25.13420879,19.26688859,12.68053271,11.11669884,SARS-CoV-2_1_LEFT,SARS-CoV-2_54_RIGHT
15.2310132,29.64743697,26.06499345,31.37303888,14.09991371,24.53619371,29.03418934,25.61291519,14.88893508,12.50758222,SARS-CoV-2_1_LEFT,SARS-CoV-2_55_LEFT
18.20929458,34.19468326,25.38124934,29.24375626,14.39535928,21.95343645,24.62166365,20.0752744,12.70421519,11.42378981,SARS-CoV-2_1_LEFT,SARS-CoV-2_55_RIGHT
14.69826695,30.07763339,26.42256754,30.62398555,14.62318254,26.31089955,30.46438488,26.70422319,14.88885237,12.88726084,SARS-CoV-2_1_LEFT,SARS-CoV-2_56_LEFT
15.12986677,31.11878695,24.83927747,27.30147766,15.16383835,24.87968915,27.35197191,22.54326707,13.31834918,12.19684005,SARS-CoV-2_1_LEFT,SARS-CoV-2_56_RIGHT
16.45129238,34.22464716,22.24102402,28.35392662,15.77946854,21.72484862,27.45494756,19.51147237,13.26079649,10.89435161,SARS-CoV-2_1_LEFT,SARS-CoV-2_57_LEFT
17.17181647,35.4458164,23.46102054,27.67933901,15.61790127,22.20974297,25.86964608,19.2876405,12.61221163,11.10192209,SARS-CoV-2_1_LEFT,SARS-CoV-2_57_RIGHT
17.30751582,34.53447536,27.83972656,29.57710948,14.65263909,24.67876558,25.96789767,22.31925282,12.91803994,12.31123136,SARS-CoV-2_1_LEFT,SARS-CoV-2_58_LEFT
15.70293662,30.15106065,27.08176631,32.94243597,13.86219667,24.52327051,28.97185329,26.16590361,15.02346222,12.60210186,SARS-CoV-2_1_LEFT,SARS-CoV-2_58_RIGHT
18.29264313,35.20326261,25.28229751,27.79415792,14.81555254,22.25308222,24.08734795,19.42658314,12.25936065,11.42824435,SARS-CoV-2_1_LEFT,SARS-CoV-2_59_LEFT
14.73828729,28.85540225,23.12971323,29.44240189,14.54380855,22.91772787,29.06957818,23.25664914,14.85608184,11.718341,SARS-CoV-2_1_LEFT,SARS-CoV-2_59_RIGHT
